"String ID","Source text","Translation","Context","Path","Filename"
"1","0","nul","","SYSTEM","0000.wav"
"2","1","één","","SYSTEM","0001.wav"
"3","2","twee","","SYSTEM","0002.wav"
"4","3","drie","","SYSTEM","0003.wav"
"5","4","vier","","SYSTEM","0004.wav"
"6","5","vijf","","SYSTEM","0005.wav"
"7","6","zes","","SYSTEM","0006.wav"
"8","7","zeven","","SYSTEM","0007.wav"
"9","8","acht","","SYSTEM","0008.wav"
"10","9","negen","","SYSTEM","0009.wav"
"11","10","tien","","SYSTEM","0010.wav"
"12","11","elf","","SYSTEM","0011.wav"
"13","12","twaalf","","SYSTEM","0012.wav"
"14","13","dertien","","SYSTEM","0013.wav"
"15","14","veertien","","SYSTEM","0014.wav"
"16","15","vijftien","","SYSTEM","0015.wav"
"17","16","zestien","","SYSTEM","0016.wav"
"18","17","zeventien","","SYSTEM","0017.wav"
"19","18","achttien","","SYSTEM","0018.wav"
"20","19","negentien","","SYSTEM","0019.wav"
"21","20","twintig","","SYSTEM","0020.wav"
"22","21","eenentwintig","","SYSTEM","0021.wav"
"23","22","tweeëntwintig","","SYSTEM","0022.wav"
"24","23","drieëntwintig","","SYSTEM","0023.wav"
"25","24","vierentwintig","","SYSTEM","0024.wav"
"26","25","vijfentwintig","","SYSTEM","0025.wav"
"27","26","zesentwintig","","SYSTEM","0026.wav"
"28","27","zevenentwintig","","SYSTEM","0027.wav"
"29","28","achtentwintig","","SYSTEM","0028.wav"
"30","29","negenentwintig","","SYSTEM","0029.wav"
"31","30","dertig","","SYSTEM","0030.wav"
"32","31","eenendertig","","SYSTEM","0031.wav"
"33","32","tweeëndertig","","SYSTEM","0032.wav"
"34","33","drieëndertig","","SYSTEM","0033.wav"
"35","34","vierendertig","","SYSTEM","0034.wav"
"36","35","vijfendertig","","SYSTEM","0035.wav"
"37","36","zesendertig","","SYSTEM","0036.wav"
"38","37","zevenendertig","","SYSTEM","0037.wav"
"39","38","achtendertig","","SYSTEM","0038.wav"
"40","39","negenendertig","","SYSTEM","0039.wav"
"41","40","veertig","","SYSTEM","0040.wav"
"42","41","eenenveertig","","SYSTEM","0041.wav"
"43","42","tweeënveertig","","SYSTEM","0042.wav"
"44","43","drieënveertig","","SYSTEM","0043.wav"
"45","44","vierenveertig","","SYSTEM","0044.wav"
"46","45","vijfenveertig","","SYSTEM","0045.wav"
"47","46","zesenveertig","","SYSTEM","0046.wav"
"48","47","zevenenveertig","","SYSTEM","0047.wav"
"49","48","achtenveertig","","SYSTEM","0048.wav"
"50","49","negenenveertig","","SYSTEM","0049.wav"
"51","50","vijftig","","SYSTEM","0050.wav"
"52","51","eenenvijftig","","SYSTEM","0051.wav"
"53","52","tweeënvijftig","","SYSTEM","0052.wav"
"54","53","drieënvijftig","","SYSTEM","0053.wav"
"55","54","vierenvijftig","","SYSTEM","0054.wav"
"56","55","vijfenvijftig","","SYSTEM","0055.wav"
"57","56","zesenvijftig","","SYSTEM","0056.wav"
"58","57","zevenenvijftig","","SYSTEM","0057.wav"
"59","58","achtenvijftig","","SYSTEM","0058.wav"
"60","59","negenenvijftig","","SYSTEM","0059.wav"
"61","60","zestig","","SYSTEM","0060.wav"
"62","61","eenenzestig","","SYSTEM","0061.wav"
"63","62","tweeënzestig","","SYSTEM","0062.wav"
"64","63","drieënzestig","","SYSTEM","0063.wav"
"65","64","vierenzestig","","SYSTEM","0064.wav"
"66","65","vijfenzestig","","SYSTEM","0065.wav"
"67","66","zesenzestig","","SYSTEM","0066.wav"
"68","67","zevenenzestig","","SYSTEM","0067.wav"
"69","68","achtenzestig","","SYSTEM","0068.wav"
"70","69","negenenzestig","","SYSTEM","0069.wav"
"71","70","zeventig","","SYSTEM","0070.wav"
"72","71","eenenzeventig","","SYSTEM","0071.wav"
"73","72","tweeënzeventig","","SYSTEM","0072.wav"
"74","73","drieënzeventig","","SYSTEM","0073.wav"
"75","74","vierenzeventig","","SYSTEM","0074.wav"
"76","75","vijfenzeventig","","SYSTEM","0075.wav"
